Year,County Name,Age Group,Victims
2012,Henry,11 Years Old and Older,17
2007,Woodbury,6 to 10 Years Old,157
2005,Emmet,5 Years Old and Younger,41
2011,Allamakee,11 Years Old and Older,18
2004,Webster,5 Years Old and Younger,100
2015,Keokuk,6 to 10 Years Old,1
2004,Mahaska,5 Years Old and Younger,71
2014,Mills,11 Years Old and Older,4
2004,Cerro Gordo,11 Years Old and Older,68
2008,Kossuth,6 to 10 Years Old,16
2012,Winneshiek,5 Years Old and Younger,16
2013,Sioux,6 to 10 Years Old,14
2011,Clayton,5 Years Old and Younger,15
2017,Muscatine,11 Years Old and Older,60
2011,OBrien,5 Years Old and Younger,42
2007,Palo Alto,11 Years Old and Older,12
2016,Washington,6 to 10 Years Old,13
2014,Cherokee,6 to 10 Years Old,7
2013,OBrien,5 Years Old and Younger,23
2010,Union,11 Years Old and Older,15
2010,OBrien,11 Years Old and Older,10
2017,Cedar,5 Years Old and Younger,23
2010,Osceola,11 Years Old and Older,9
2009,Des Moines,5 Years Old and Younger,134
2009,Jones,5 Years Old and Younger,20
2005,Dubuque,5 Years Old and Younger,222
2008,Bremer,6 to 10 Years Old,20
2006,Iowa,5 Years Old and Younger,13
2008,Fremont,11 Years Old and Older,5
2010,Pocahontas,5 Years Old and Younger,20
2008,Ida,11 Years Old and Older,1
2007,Winnebago,11 Years Old and Older,12
2013,Lyon,11 Years Old and Older,3
2005,Buchanan,11 Years Old and Older,26
2014,Carroll,5 Years Old and Younger,18
2005,Crawford,5 Years Old and Younger,49
2005,Monona,6 to 10 Years Old,16
2004,Keokuk,6 to 10 Years Old,32
2010,Boone,11 Years Old and Older,34
2014,Polk,6 to 10 Years Old,361
2008,Palo Alto,5 Years Old and Younger,18
2004,Crawford,5 Years Old and Younger,20
2013,Polk,6 to 10 Years Old,569
2012,Des Moines,5 Years Old and Younger,94
2004,Muscatine,5 Years Old and Younger,171
2007,Hancock,11 Years Old and Older,7
2010,Butler,6 to 10 Years Old,19
2007,Poweshiek,6 to 10 Years Old,16
2014,Cass,6 to 10 Years Old,15
2008,Clay,11 Years Old and Older,14
2008,Marshall,11 Years Old and Older,53
2012,Poweshiek,5 Years Old and Younger,40
2005,Page,6 to 10 Years Old,17
2017,Cherokee,5 Years Old and Younger,18
2005,Boone,11 Years Old and Older,21
2011,Hardin,6 to 10 Years Old,24
2013,Wapello,11 Years Old and Older,30
2011,Johnson,6 to 10 Years Old,78
2013,Van Buren,11 Years Old and Older,6
2004,Cedar,5 Years Old and Younger,20
2013,Delaware,6 to 10 Years Old,11
2010,Mitchell,5 Years Old and Younger,12
2006,Ida,6 to 10 Years Old,9
2006,Webster,6 to 10 Years Old,50
2004,Boone,11 Years Old and Older,22
2006,Grundy,11 Years Old and Older,11
2016,Appanoose,5 Years Old and Younger,37
2004,Tama,11 Years Old and Older,20
2008,Hamilton,11 Years Old and Older,14
2017,Lyon,5 Years Old and Younger,11
2005,Des Moines,6 to 10 Years Old,42
2011,Boone,6 to 10 Years Old,36
2009,Montgomery,6 to 10 Years Old,12
2006,Wright,11 Years Old and Older,9
2009,Iowa,5 Years Old and Younger,17
2011,Story,5 Years Old and Younger,116
2013,Poweshiek,11 Years Old and Older,15
2013,Cass,5 Years Old and Younger,23
2008,OBrien,11 Years Old and Older,22
2013,Hardin,6 to 10 Years Old,31
2004,Franklin,5 Years Old and Younger,14
2004,Plymouth,5 Years Old and Younger,54
2005,Story,5 Years Old and Younger,97
2005,Mahaska,5 Years Old and Younger,74
2012,Page,6 to 10 Years Old,27
2012,Calhoun,5 Years Old and Younger,20
2004,Dallas,11 Years Old and Older,57
2007,Henry,5 Years Old and Younger,53
2017,Worth,11 Years Old and Older,5
2012,Scott,11 Years Old and Older,147
2016,Webster,6 to 10 Years Old,38
2007,Story,6 to 10 Years Old,66
2005,Johnson,5 Years Old and Younger,181
2004,Decatur,6 to 10 Years Old,9
2004,Marion,11 Years Old and Older,29
2010,Henry,11 Years Old and Older,33
2009,Lucas,5 Years Old and Younger,12
2007,Iowa,6 to 10 Years Old,16
2010,Jackson,11 Years Old and Older,20
2006,Winnebago,11 Years Old and Older,16
2006,Des Moines,5 Years Old and Younger,155
2013,Osceola,6 to 10 Years Old,7
2016,Dallas,5 Years Old and Younger,62
2011,Webster,6 to 10 Years Old,64
2013,Kossuth,6 to 10 Years Old,12
2006,Dickinson,11 Years Old and Older,14
2013,Mills,11 Years Old and Older,12
2008,Mitchell,5 Years Old and Younger,15
2016,Hancock,11 Years Old and Older,2
2011,Bremer,6 to 10 Years Old,16
2008,Appanoose,11 Years Old and Older,16
2007,Taylor,6 to 10 Years Old,10
2010,Grundy,6 to 10 Years Old,3
2015,Washington,11 Years Old and Older,8
2008,Carroll,11 Years Old and Older,15
2006,Clarke,11 Years Old and Older,19
2017,Howard,6 to 10 Years Old,16
2015,Dickinson,11 Years Old and Older,7
2017,Clay,11 Years Old and Older,21
2017,Black Hawk,11 Years Old and Older,113
2009,OBrien,11 Years Old and Older,9
2007,Ida,5 Years Old and Younger,7
2017,Audubon,11 Years Old and Older,5
2014,Floyd,5 Years Old and Younger,19
2012,Hancock,5 Years Old and Younger,12
2007,Clayton,6 to 10 Years Old,20
2013,Jefferson,5 Years Old and Younger,29
2010,Louisa,6 to 10 Years Old,13
2004,Clay,5 Years Old and Younger,39
2009,Wright,5 Years Old and Younger,35
2017,Washington,11 Years Old and Older,12
2010,Cerro Gordo,6 to 10 Years Old,47
2010,Marshall,6 to 10 Years Old,74
2014,Audubon,11 Years Old and Older,5
2009,Audubon,11 Years Old and Older,6
2017,Hancock,11 Years Old and Older,10
2017,Humboldt,5 Years Old and Younger,8
2007,Montgomery,11 Years Old and Older,15
2005,Harrison,11 Years Old and Older,13
2008,Hamilton,5 Years Old and Younger,20
2015,Mills,5 Years Old and Younger,14
2011,Wayne,5 Years Old and Younger,9
2004,Grundy,6 to 10 Years Old,7
2010,Dubuque,6 to 10 Years Old,99
2009,Carroll,5 Years Old and Younger,32
2009,Cherokee,6 to 10 Years Old,12
2006,OBrien,6 to 10 Years Old,17
2017,Winnebago,5 Years Old and Younger,15
2011,Calhoun,6 to 10 Years Old,6
2005,Lee,5 Years Old and Younger,75
2004,Marion,5 Years Old and Younger,39
2009,Humboldt,11 Years Old and Older,8
2008,Wapello,11 Years Old and Older,65
2010,Buchanan,11 Years Old and Older,15
2014,Taylor,5 Years Old and Younger,12
2005,Dallas,6 to 10 Years Old,54
2009,Calhoun,6 to 10 Years Old,4
2011,Madison,6 to 10 Years Old,8
2011,Mitchell,11 Years Old and Older,5
2008,Union,6 to 10 Years Old,14
2006,Mahaska,11 Years Old and Older,29
2010,Tama,6 to 10 Years Old,42
2011,Cherokee,11 Years Old and Older,6
2007,Emmet,6 to 10 Years Old,18
2009,Mitchell,6 to 10 Years Old,5
2008,Muscatine,11 Years Old and Older,48
2007,Van Buren,5 Years Old and Younger,12
2012,OBrien,6 to 10 Years Old,18
2013,Henry,6 to 10 Years Old,31
2011,Calhoun,5 Years Old and Younger,7
2009,Taylor,5 Years Old and Younger,12
2009,Wright,6 to 10 Years Old,22
2005,Washington,5 Years Old and Younger,46
2006,Pocahontas,6 to 10 Years Old,7
2006,Cherokee,11 Years Old and Older,18
2017,Webster,11 Years Old and Older,22
2011,Lucas,11 Years Old and Older,13
2004,Warren,6 to 10 Years Old,35
2009,Chickasaw,11 Years Old and Older,10
2015,Wayne,5 Years Old and Younger,7
2009,Kossuth,6 to 10 Years Old,15
2007,Winneshiek,5 Years Old and Younger,22
2007,Union,6 to 10 Years Old,17
2010,Howard,5 Years Old and Younger,5
2017,Linn,5 Years Old and Younger,372
2006,Buena Vista,5 Years Old and Younger,38
2007,Ringgold,5 Years Old and Younger,14
2012,Wapello,11 Years Old and Older,70
2004,Hancock,11 Years Old and Older,16
2005,Pottawattamie,11 Years Old and Older,123
2007,Warren,6 to 10 Years Old,42
2012,Emmet,5 Years Old and Younger,18
2008,Monroe,5 Years Old and Younger,13
2007,Palo Alto,5 Years Old and Younger,36
2006,Chickasaw,11 Years Old and Older,18
2004,Marion,6 to 10 Years Old,40
2008,Cerro Gordo,11 Years Old and Older,27
2013,Clay,5 Years Old and Younger,46
2008,Adair,6 to 10 Years Old,7
2008,Davis,11 Years Old and Older,11
2017,Carroll,11 Years Old and Older,9
2005,Lee,11 Years Old and Older,45
2011,Clarke,11 Years Old and Older,11
2007,Marshall,6 to 10 Years Old,52
2013,Jasper,5 Years Old and Younger,121
2015,Monona,5 Years Old and Younger,12
2006,Lyon,5 Years Old and Younger,8
2012,Plymouth,11 Years Old and Older,15
2008,Ringgold,5 Years Old and Younger,8
2016,Sac,5 Years Old and Younger,13
2013,Madison,6 to 10 Years Old,18
2010,Boone,5 Years Old and Younger,47
2017,Allamakee,11 Years Old and Older,17
2013,Warren,6 to 10 Years Old,36
2009,Bremer,11 Years Old and Older,13
2005,Clinton,5 Years Old and Younger,58
2016,Taylor,5 Years Old and Younger,20
2010,Des Moines,5 Years Old and Younger,115
2013,Ida,5 Years Old and Younger,25
2011,Dubuque,11 Years Old and Older,56
2012,Palo Alto,5 Years Old and Younger,16
2010,Dubuque,5 Years Old and Younger,217
2007,Jackson,11 Years Old and Older,15
2008,Shelby,5 Years Old and Younger,18
2009,OBrien,6 to 10 Years Old,18
2015,Ringgold,6 to 10 Years Old,8
2013,Story,6 to 10 Years Old,74
2006,Clinton,11 Years Old and Older,46
2004,Ida,6 to 10 Years Old,6
2008,Grundy,6 to 10 Years Old,6
2007,Buchanan,5 Years Old and Younger,28
2011,Linn,6 to 10 Years Old,193
2007,Decatur,5 Years Old and Younger,20
2006,Henry,5 Years Old and Younger,52
2006,Winneshiek,5 Years Old and Younger,21
2009,Marshall,5 Years Old and Younger,122
2017,Howard,11 Years Old and Older,12
2008,Clinton,6 to 10 Years Old,44
2015,Woodbury,6 to 10 Years Old,125
2009,Cedar,11 Years Old and Older,17
2005,Henry,11 Years Old and Older,33
2014,Black Hawk,5 Years Old and Younger,222
2012,Worth,11 Years Old and Older,5
2012,Hancock,11 Years Old and Older,6
2006,Clay,5 Years Old and Younger,51
2007,Sioux,11 Years Old and Older,14
2009,Hardin,11 Years Old and Older,27
2006,Linn,5 Years Old and Younger,551
2009,OBrien,5 Years Old and Younger,33
2011,Plymouth,11 Years Old and Older,18
2010,Des Moines,11 Years Old and Older,41
2012,Pottawattamie,11 Years Old and Older,68
2017,Clinton,6 to 10 Years Old,81
2013,Emmet,11 Years Old and Older,8
2009,Cedar,6 to 10 Years Old,11
2005,Cerro Gordo,11 Years Old and Older,67
2012,Louisa,6 to 10 Years Old,6
2005,Montgomery,5 Years Old and Younger,19
2017,Wayne,6 to 10 Years Old,8
2005,Adams,5 Years Old and Younger,3
2017,Madison,11 Years Old and Older,20
2011,Buchanan,5 Years Old and Younger,25
2007,Lucas,11 Years Old and Older,21
2006,Jones,11 Years Old and Older,10
2017,Lee,6 to 10 Years Old,59
2013,Winneshiek,11 Years Old and Older,7
2012,Monroe,5 Years Old and Younger,12
2014,Mills,6 to 10 Years Old,2
2011,Pocahontas,11 Years Old and Older,6
2004,Kossuth,11 Years Old and Older,21
2008,Henry,11 Years Old and Older,11
2004,Marshall,11 Years Old and Older,68
2015,Jackson,11 Years Old and Older,9
2005,Clarke,5 Years Old and Younger,16
2004,Jasper,5 Years Old and Younger,55
2012,Pocahontas,11 Years Old and Older,9
2010,Linn,11 Years Old and Older,204
2005,Humboldt,6 to 10 Years Old,10
2004,Lyon,11 Years Old and Older,9
2011,Monroe,6 to 10 Years Old,16
2007,Lucas,5 Years Old and Younger,13
2012,Floyd,6 to 10 Years Old,24
2011,Cerro Gordo,5 Years Old and Younger,144
2016,Marshall,5 Years Old and Younger,65
2010,Lyon,6 to 10 Years Old,8
2005,Benton,5 Years Old and Younger,47
2011,Plymouth,6 to 10 Years Old,24
2010,Union,5 Years Old and Younger,47
2012,Dickinson,5 Years Old and Younger,32
2006,Clayton,6 to 10 Years Old,21
2013,Black Hawk,6 to 10 Years Old,167
2008,Poweshiek,6 to 10 Years Old,24
2005,Louisa,6 to 10 Years Old,13
2007,Chickasaw,11 Years Old and Older,10
2010,Taylor,5 Years Old and Younger,6
2009,Osceola,11 Years Old and Older,3
2008,Howard,11 Years Old and Older,6
2017,Webster,5 Years Old and Younger,97
2012,Johnson,6 to 10 Years Old,79
2006,Dickinson,5 Years Old and Younger,34
2013,Palo Alto,11 Years Old and Older,5
2010,Iowa,5 Years Old and Younger,18
2004,Howard,11 Years Old and Older,6
2011,Harrison,5 Years Old and Younger,18
2010,Marion,5 Years Old and Younger,32
2008,Lucas,6 to 10 Years Old,7
2008,Cass,11 Years Old and Older,16
2013,Worth,11 Years Old and Older,7
2004,Lyon,6 to 10 Years Old,12
2013,Pocahontas,6 to 10 Years Old,15
2009,Allamakee,6 to 10 Years Old,11
2009,Crawford,11 Years Old and Older,21
2014,Dickinson,5 Years Old and Younger,18
2010,Ringgold,5 Years Old and Younger,8
2011,Wapello,11 Years Old and Older,61
2005,Floyd,11 Years Old and Older,22
2017,Ringgold,5 Years Old and Younger,5
2007,Butler,11 Years Old and Older,9
2008,Pocahontas,5 Years Old and Younger,13
2004,Jones,6 to 10 Years Old,11
2012,Greene,6 to 10 Years Old,9
2007,Black Hawk,11 Years Old and Older,153
2010,Polk,11 Years Old and Older,323
2016,Wayne,11 Years Old and Older,5
2006,Benton,11 Years Old and Older,46
2008,Clarke,6 to 10 Years Old,8
2013,Johnson,5 Years Old and Younger,178
2017,Calhoun,6 to 10 Years Old,2
2005,Cherokee,11 Years Old and Older,8
2017,Audubon,5 Years Old and Younger,20
2005,Buena Vista,5 Years Old and Younger,22
2017,Warren,5 Years Old and Younger,62
2008,Humboldt,6 to 10 Years Old,4
2008,Emmet,5 Years Old and Younger,39
2011,Taylor,5 Years Old and Younger,7
2006,Adams,5 Years Old and Younger,6
2004,Cherokee,11 Years Old and Older,6
2005,Greene,11 Years Old and Older,7
2013,Adams,6 to 10 Years Old,10
2004,Missing,6 to 10 Years Old,4
2011,Crawford,5 Years Old and Younger,28
2011,Winnebago,5 Years Old and Younger,23
2010,Lucas,5 Years Old and Younger,17
2014,Shelby,6 to 10 Years Old,4
2007,Page,11 Years Old and Older,20
2012,Wayne,6 to 10 Years Old,3
2010,Iowa,11 Years Old and Older,13
2010,Kossuth,5 Years Old and Younger,20
2010,Dallas,5 Years Old and Younger,76
2017,Union,5 Years Old and Younger,44
2010,Mitchell,11 Years Old and Older,13
2012,Boone,5 Years Old and Younger,40
2005,Washington,11 Years Old and Older,23
2006,Wapello,11 Years Old and Older,111
2010,Lee,6 to 10 Years Old,46
2017,Mahaska,5 Years Old and Younger,31
2013,Chickasaw,11 Years Old and Older,7
2010,Jasper,5 Years Old and Younger,86
2008,Jones,11 Years Old and Older,10
2007,Johnson,5 Years Old and Younger,174
2013,Jasper,11 Years Old and Older,46
2017,Black Hawk,6 to 10 Years Old,138
2004,Harrison,6 to 10 Years Old,4
2009,Davis,5 Years Old and Younger,5
2008,Franklin,11 Years Old and Older,8
2005,Bremer,6 to 10 Years Old,16
2016,Guthrie,6 to 10 Years Old,10
2016,Cedar,6 to 10 Years Old,12
2006,OBrien,11 Years Old and Older,21
2004,Cerro Gordo,6 to 10 Years Old,97
2011,Jackson,5 Years Old and Younger,38
2005,Madison,6 to 10 Years Old,11
2013,Polk,5 Years Old and Younger,922
2013,Poweshiek,6 to 10 Years Old,30
2009,Grundy,6 to 10 Years Old,5
2014,Howard,5 Years Old and Younger,13
2012,Calhoun,11 Years Old and Older,4
2009,Johnson,11 Years Old and Older,65
2005,Clayton,11 Years Old and Older,19
2011,Emmet,11 Years Old and Older,17
2017,Washington,5 Years Old and Younger,23
2004,Cherokee,5 Years Old and Younger,7
2014,Palo Alto,6 to 10 Years Old,6
2012,Warren,11 Years Old and Older,43
2014,Buena Vista,11 Years Old and Older,7
2015,Madison,6 to 10 Years Old,16
2006,Washington,6 to 10 Years Old,25
2011,Scott,5 Years Old and Younger,373
2012,Clinton,5 Years Old and Younger,176
2007,Adair,6 to 10 Years Old,16
2013,Webster,5 Years Old and Younger,109
2004,Palo Alto,11 Years Old and Older,9
2014,Woodbury,11 Years Old and Older,72
2006,Floyd,11 Years Old and Older,23
2005,Davis,11 Years Old and Older,11
2012,Fremont,6 to 10 Years Old,6
2005,Winneshiek,11 Years Old and Older,9
2009,Boone,11 Years Old and Older,27
2007,Wright,6 to 10 Years Old,20
2017,Emmet,6 to 10 Years Old,30
2004,Dickinson,5 Years Old and Younger,29
2011,Montgomery,5 Years Old and Younger,42
2006,Scott,11 Years Old and Older,166
2014,Mitchell,5 Years Old and Younger,2
2016,Adair,5 Years Old and Younger,16
2012,Sac,11 Years Old and Older,9
2015,Adams,11 Years Old and Older,2
2007,Decatur,6 to 10 Years Old,11
2017,Cedar,11 Years Old and Older,35
2012,Jones,5 Years Old and Younger,25
2008,Jones,6 to 10 Years Old,10
2009,Van Buren,11 Years Old and Older,3
2009,Sioux,5 Years Old and Younger,19
2006,Cass,5 Years Old and Younger,29
2011,Floyd,5 Years Old and Younger,39
2004,Woodbury,6 to 10 Years Old,152
2012,Montgomery,11 Years Old and Older,20
2005,Poweshiek,6 to 10 Years Old,17
2009,Cerro Gordo,6 to 10 Years Old,71
2017,Jefferson,11 Years Old and Older,21
2004,Louisa,6 to 10 Years Old,29
2008,Sioux,6 to 10 Years Old,24
2017,Scott,11 Years Old and Older,160
2007,Iowa,11 Years Old and Older,10
2013,Cerro Gordo,6 to 10 Years Old,61
2008,Lucas,5 Years Old and Younger,10
2006,Johnson,11 Years Old and Older,68
2004,Polk,11 Years Old and Older,381
2013,Pottawattamie,6 to 10 Years Old,121
2006,Union,6 to 10 Years Old,23
2006,Union,11 Years Old and Older,12
2017,Jasper,6 to 10 Years Old,40
2009,Woodbury,11 Years Old and Older,94
2017,Louisa,11 Years Old and Older,18
2009,Marshall,6 to 10 Years Old,78
2004,Greene,6 to 10 Years Old,7
2004,Black Hawk,6 to 10 Years Old,169
2007,Des Moines,11 Years Old and Older,33
2007,Pottawattamie,6 to 10 Years Old,126
2010,Clinton,6 to 10 Years Old,74
2013,Harrison,5 Years Old and Younger,21
2014,Henry,6 to 10 Years Old,12
2008,Scott,5 Years Old and Younger,426
2014,Lee,5 Years Old and Younger,80
2004,Dallas,5 Years Old and Younger,97
2006,Wayne,6 to 10 Years Old,3
2004,Iowa,11 Years Old and Older,24
2010,Shelby,11 Years Old and Older,6
2007,Benton,6 to 10 Years Old,38
2006,Audubon,5 Years Old and Younger,19
2017,Fayette,11 Years Old and Older,24
2015,Cherokee,5 Years Old and Younger,13
2007,Floyd,5 Years Old and Younger,73
2014,Cherokee,11 Years Old and Older,6
2010,Wright,11 Years Old and Older,31
2008,Wright,6 to 10 Years Old,24
2009,Wapello,6 to 10 Years Old,76
2017,Delaware,11 Years Old and Older,12
2010,Worth,5 Years Old and Younger,15
2004,Lucas,5 Years Old and Younger,19
2012,Wapello,5 Years Old and Younger,115
2017,Benton,6 to 10 Years Old,10
2011,Floyd,6 to 10 Years Old,17
2006,Warren,11 Years Old and Older,42
2010,Sac,5 Years Old and Younger,8
2009,Clarke,11 Years Old and Older,14
2008,Pocahontas,11 Years Old and Older,5
2006,Cass,6 to 10 Years Old,15
2017,Carroll,5 Years Old and Younger,19
2013,Woodbury,6 to 10 Years Old,131
2008,Bremer,11 Years Old and Older,17
2009,Grundy,11 Years Old and Older,4
2013,Shelby,11 Years Old and Older,7
2008,Dickinson,5 Years Old and Younger,33
2010,Clayton,5 Years Old and Younger,25
2006,Cerro Gordo,6 to 10 Years Old,75
2005,Wright,11 Years Old and Older,10
2014,Ringgold,5 Years Old and Younger,2
2013,Winneshiek,6 to 10 Years Old,15
2016,Plymouth,5 Years Old and Younger,15
2006,Plymouth,5 Years Old and Younger,23
2017,Dubuque,6 to 10 Years Old,85
2013,Sac,11 Years Old and Older,10
2011,Muscatine,11 Years Old and Older,38
2005,Greene,5 Years Old and Younger,17
2012,Osceola,6 to 10 Years Old,2
2017,Humboldt,11 Years Old and Older,8
2015,Franklin,6 to 10 Years Old,8
2013,Allamakee,5 Years Old and Younger,21
2014,Butler,11 Years Old and Older,9
2007,Adair,5 Years Old and Younger,19
2006,Hamilton,6 to 10 Years Old,15
2017,Bremer,5 Years Old and Younger,16
2017,Taylor,11 Years Old and Older,3
2009,Kossuth,5 Years Old and Younger,18
2007,Cass,6 to 10 Years Old,23
2014,Winneshiek,5 Years Old and Younger,6
2009,Franklin,11 Years Old and Older,8
2007,Bremer,11 Years Old and Older,18
2005,Des Moines,11 Years Old and Older,45
2007,Johnson,6 to 10 Years Old,92
2004,Davis,5 Years Old and Younger,9
2017,Davis,11 Years Old and Older,6
2015,Harrison,11 Years Old and Older,6
2009,Jackson,5 Years Old and Younger,24
2017,Monona,5 Years Old and Younger,16
2005,Boone,5 Years Old and Younger,33
2004,Story,6 to 10 Years Old,61
2004,Guthrie,5 Years Old and Younger,15
2014,Howard,6 to 10 Years Old,8
2006,Hancock,5 Years Old and Younger,20
2012,Kossuth,5 Years Old and Younger,18
2011,Lyon,5 Years Old and Younger,7
2010,Floyd,11 Years Old and Older,22
2013,Floyd,11 Years Old and Older,21
2004,Dickinson,11 Years Old and Older,21
2013,Audubon,5 Years Old and Younger,1
2017,Osceola,6 to 10 Years Old,9
2015,Lucas,5 Years Old and Younger,10
2011,Benton,11 Years Old and Older,28
2017,Allamakee,6 to 10 Years Old,16
2008,Winneshiek,11 Years Old and Older,6
2008,Johnson,6 to 10 Years Old,71
2010,Union,6 to 10 Years Old,25
2013,Scott,5 Years Old and Younger,391
2008,Iowa,11 Years Old and Older,14
2012,Carroll,11 Years Old and Older,22
2009,Worth,5 Years Old and Younger,9
2004,Tama,6 to 10 Years Old,32
2010,Palo Alto,6 to 10 Years Old,12
2014,Woodbury,5 Years Old and Younger,198
2012,Dickinson,11 Years Old and Older,24
2010,Poweshiek,5 Years Old and Younger,46
2012,Howard,11 Years Old and Older,7
2008,Chickasaw,6 to 10 Years Old,3
2015,Osceola,5 Years Old and Younger,2
2013,Carroll,6 to 10 Years Old,12
2014,Washington,11 Years Old and Older,7
2010,Adams,11 Years Old and Older,5
2015,Wapello,6 to 10 Years Old,41
2014,Mitchell,6 to 10 Years Old,4
2005,Polk,6 to 10 Years Old,455
2011,Lucas,6 to 10 Years Old,9
2006,Louisa,6 to 10 Years Old,17
2017,Clinton,5 Years Old and Younger,146
2011,Davis,6 to 10 Years Old,10
2008,Warren,11 Years Old and Older,37
2007,Calhoun,5 Years Old and Younger,13
2012,Sac,6 to 10 Years Old,11
2007,Benton,11 Years Old and Older,48
2011,Fayette,6 to 10 Years Old,15
2011,Guthrie,5 Years Old and Younger,13
2009,Story,5 Years Old and Younger,131
2009,Tama,6 to 10 Years Old,31
2005,Franklin,5 Years Old and Younger,19
2006,Tama,6 to 10 Years Old,23
2011,Hamilton,11 Years Old and Older,16
2009,Scott,5 Years Old and Younger,458
2015,Howard,11 Years Old and Older,7
2006,OBrien,5 Years Old and Younger,28
2004,Humboldt,11 Years Old and Older,6
2017,Dallas,11 Years Old and Older,44
2009,Dickinson,5 Years Old and Younger,31
2005,Wapello,5 Years Old and Younger,182
2007,Guthrie,11 Years Old and Older,20
2012,Cherokee,11 Years Old and Older,5
2008,Harrison,11 Years Old and Older,18
2013,Boone,5 Years Old and Younger,31
2014,Clinton,5 Years Old and Younger,93
2011,Taylor,6 to 10 Years Old,5
2014,Lucas,6 to 10 Years Old,9
2007,Lyon,5 Years Old and Younger,8
2011,Washington,5 Years Old and Younger,26
2007,Monroe,5 Years Old and Younger,19
2006,Shelby,11 Years Old and Older,15
2012,Harrison,6 to 10 Years Old,7
2006,Hancock,6 to 10 Years Old,20
2009,Adair,5 Years Old and Younger,10
2011,Benton,5 Years Old and Younger,27
2012,Audubon,11 Years Old and Older,3
2006,Warren,5 Years Old and Younger,64
2005,Johnson,11 Years Old and Older,57
2009,Carroll,6 to 10 Years Old,22
2017,Scott,6 to 10 Years Old,184
2009,Warren,6 to 10 Years Old,24
2009,Iowa,6 to 10 Years Old,9
2005,Wright,5 Years Old and Younger,33
2016,Lucas,5 Years Old and Younger,5
2006,Dallas,5 Years Old and Younger,80
2013,Van Buren,6 to 10 Years Old,4
2004,Harrison,11 Years Old and Older,11
2011,Clinton,11 Years Old and Older,48
2007,Pocahontas,5 Years Old and Younger,12
2004,Adair,5 Years Old and Younger,14
2012,Allamakee,5 Years Old and Younger,21
2013,Buena Vista,6 to 10 Years Old,15
2013,Butler,11 Years Old and Older,16
2013,Marion,5 Years Old and Younger,59
2011,Marion,6 to 10 Years Old,20
2014,Pottawattamie,6 to 10 Years Old,81
2008,Monona,6 to 10 Years Old,4
2007,Emmet,5 Years Old and Younger,36
2012,Poweshiek,6 to 10 Years Old,32
2014,Audubon,5 Years Old and Younger,5
2009,Delaware,6 to 10 Years Old,14
2014,Worth,5 Years Old and Younger,8
2016,Calhoun,11 Years Old and Older,9
2017,Muscatine,6 to 10 Years Old,65
2014,Wapello,5 Years Old and Younger,47
2004,Adams,5 Years Old and Younger,9
2007,Louisa,6 to 10 Years Old,11
2017,Cherokee,6 to 10 Years Old,14
2006,Mills,6 to 10 Years Old,13
2006,Des Moines,11 Years Old and Older,57
2011,Clinton,5 Years Old and Younger,173
2006,Monroe,6 to 10 Years Old,17
2010,Calhoun,5 Years Old and Younger,25
2011,Sac,6 to 10 Years Old,3
2011,Jasper,5 Years Old and Younger,78
2017,Fayette,5 Years Old and Younger,34
2013,Clarke,6 to 10 Years Old,5
2012,Muscatine,6 to 10 Years Old,59
2005,Cass,5 Years Old and Younger,47
2008,Greene,6 to 10 Years Old,7
2012,Page,5 Years Old and Younger,47
2016,Marshall,11 Years Old and Older,26
2009,Clinton,11 Years Old and Older,66
2012,Winneshiek,6 to 10 Years Old,4
2006,Grundy,6 to 10 Years Old,7
2009,Dubuque,11 Years Old and Older,72
2009,Shelby,6 to 10 Years Old,12
2012,Clinton,11 Years Old and Older,70
2012,Osceola,11 Years Old and Older,1
2014,Allamakee,5 Years Old and Younger,15
2012,Marshall,6 to 10 Years Old,50
2005,Louisa,11 Years Old and Older,15
2008,Sac,6 to 10 Years Old,7
2012,Polk,6 to 10 Years Old,505
2007,Monroe,11 Years Old and Older,11
2009,Guthrie,6 to 10 Years Old,9
2013,Buena Vista,5 Years Old and Younger,57
2012,Monona,5 Years Old and Younger,10
2013,Jackson,5 Years Old and Younger,27
2010,Wayne,5 Years Old and Younger,11
2010,Dickinson,5 Years Old and Younger,27
2008,Mills,6 to 10 Years Old,15
2010,Cedar,5 Years Old and Younger,29
2012,Cedar,6 to 10 Years Old,10
2017,Jasper,11 Years Old and Older,33
2017,Winnebago,6 to 10 Years Old,10
2007,Shelby,11 Years Old and Older,12
2010,Polk,5 Years Old and Younger,722
2005,Montgomery,11 Years Old and Older,14
2004,Butler,6 to 10 Years Old,17
2010,Davis,11 Years Old and Older,13
2006,Worth,5 Years Old and Younger,17
2006,Montgomery,11 Years Old and Older,27
2006,Page,5 Years Old and Younger,37
2015,Taylor,5 Years Old and Younger,4
2013,Cedar,5 Years Old and Younger,20
2010,Dickinson,6 to 10 Years Old,16
2013,Greene,5 Years Old and Younger,20
2013,Franklin,5 Years Old and Younger,30
2010,Benton,5 Years Old and Younger,43
2013,Jackson,11 Years Old and Older,35
2010,Woodbury,11 Years Old and Older,110
2017,Muscatine,5 Years Old and Younger,108
2004,Fremont,5 Years Old and Younger,10
2008,Carroll,6 to 10 Years Old,15
2012,Wright,11 Years Old and Older,18
2005,Linn,11 Years Old and Older,216
2010,Story,5 Years Old and Younger,138
2011,Guthrie,6 to 10 Years Old,9
