Year,County Name,Age Group,Victims
2012,Jones,11 Years Old and Older,11
2008,Bremer,5 Years Old and Younger,22
2004,Hancock,5 Years Old and Younger,13
2017,Johnson,6 to 10 Years Old,58
2008,Benton,11 Years Old and Older,27
2012,Buchanan,6 to 10 Years Old,15
2016,Madison,5 Years Old and Younger,6
2014,Winnebago,6 to 10 Years Old,6
2004,Pottawattamie,11 Years Old and Older,128
2011,Fayette,5 Years Old and Younger,40
2008,Jackson,5 Years Old and Younger,47
2006,Scott,6 to 10 Years Old,185
2015,Story,5 Years Old and Younger,66
2010,Pottawattamie,5 Years Old and Younger,208
2008,Guthrie,11 Years Old and Older,14
2010,Franklin,5 Years Old and Younger,31
2005,Marion,11 Years Old and Older,28
2008,Winnebago,11 Years Old and Older,9
2014,Montgomery,6 to 10 Years Old,12
2009,Muscatine,11 Years Old and Older,52
2007,Union,11 Years Old and Older,8
2013,Adams,11 Years Old and Older,3
2011,Muscatine,6 to 10 Years Old,69
2007,Louisa,5 Years Old and Younger,14
2008,Clayton,5 Years Old and Younger,21
2011,Greene,6 to 10 Years Old,12
2007,Marion,11 Years Old and Older,26
2011,Black Hawk,5 Years Old and Younger,328
2007,Monroe,6 to 10 Years Old,9
2004,Poweshiek,5 Years Old and Younger,28
2013,Webster,6 to 10 Years Old,64
2006,Black Hawk,5 Years Old and Younger,389
2013,Page,5 Years Old and Younger,50
2013,Cerro Gordo,5 Years Old and Younger,117
2009,Tama,11 Years Old and Older,30
2004,Jackson,11 Years Old and Older,27
2014,Jones,5 Years Old and Younger,16
2014,Madison,6 to 10 Years Old,5
2007,Buchanan,11 Years Old and Older,19
2007,Allamakee,6 to 10 Years Old,8
2011,Des Moines,6 to 10 Years Old,48
2006,Franklin,5 Years Old and Younger,26
2007,Fayette,11 Years Old and Older,23
2005,Pocahontas,5 Years Old and Younger,11
2007,Woodbury,5 Years Old and Younger,290
2004,Wapello,11 Years Old and Older,95
2017,Franklin,5 Years Old and Younger,16
2007,Wapello,5 Years Old and Younger,161
2011,Boone,11 Years Old and Older,34
2006,Marshall,5 Years Old and Younger,121
2004,Keokuk,11 Years Old and Older,20
2007,Shelby,5 Years Old and Younger,23
2013,Johnson,6 to 10 Years Old,91
2007,Greene,11 Years Old and Older,15
2012,Davis,5 Years Old and Younger,15
2013,Cass,6 to 10 Years Old,13
2007,Winneshiek,11 Years Old and Older,5
2011,Webster,5 Years Old and Younger,110
